,text,images,category,language,chat_id
0,Please provide a value for adjusting the brightness.,,1,en,b9fc65bc-b441-4974-8e4d-7bb20a2207fe
1,The lotus flower has been rotated by 45 degrees.,9d66b3e4-0087-4f1c-9b31-5775937cb0c2.png,1,en,bd54c348-1d2a-496e-aae2-4293be04f3fd
2,The lotus flower's brightness has been increased,109a6cfc-b4f2-4a33-a1a9-c08f933061e5.png,1,en,bc452ecc-7893-4196-850c-53bda0eb7f7e
3,The lotus flower has been moved to the right.,1d2213aa-49c9-4153-a1c6-59c2e4c3e582.png,1,en,99a48a08-c77a-4baf-b46f-7c86be02d17b
4,The dog has been rotated to the left.,9a7c0cdf-4888-4e25-b2e2-3da03ffc6986.png,1,en,e4edc6be-cd0e-4e19-802c-c858ea566325
5,The dog has been moved downwards.,80776742-27d2-47d8-acee-3a70818a8f71.png,1,en,65b2d4cd-9257-42db-af04-3e64b44323d3
6,Brightness of the dog in the image has been decreased.,138a6875-8245-48cc-a2be-1354d16fdc22.png,1,en,ea5d24fe-d4fe-4b54-9e27-5f59cc56b2a7
7,Here is your image with decreased brightness.,43739a72-980d-4731-9148-84e9937db31b.png,1,en,af2b8530-d042-486a-b397-b9bec9628abf
8,Here is the image with the elephant shrunk down.,93efce37-7067-479d-a6e7-2ea3140015c4.png,1,en,1889ce35-952b-48df-a26a-4f2849ded7e7
9,The rabbit has been moved slightly to the left.,6c945c77-66d5-4428-bd37-2cdefb91feca.png,1,en,f750c56c-2d99-4a31-8219-1250b60d291d
10,The motorcycle has been shrunk in the image.,cb83730c-2ea2-40a0-b54c-bf4c36e38f8a.png,1,en,88edc360-f39e-4041-a4e5-2a77cfa031eb
11,Here's your image with the enlarged plant.,e25fb50a-6dbf-4386-a3e7-cb879fe6c215.png,1,en,1cfd6d0b-9913-4b27-bc34-0553abb877fe
12,"Currently, I'm experiencing difficulties in adding a large cloud to the image. Allow me to figure this out.",,1,en,23f6201a-2b9a-4cae-8374-3c03d7b2d24d
13,Please provide a value to adjust the brightness.,,1,en,6a236f8c-2efe-4646-a669-2162afc4898f
14,An unexpected error occurred. Please try again or proceed with a different command.,,1,en,dde0d329-c814-4b79-be3a-ce4964f3031c
15,Decreasing the brightness by 8% would enhance the quality of the image.,622f3b38-45da-43aa-9429-a4e4c50ad442.png,4,en,79ee3d95-623a-44e1-882b-74c5e0bcc0f5
16,Increasing the contrast by 13% would provide better results.,9ec67a08-801f-4e6b-9e60-e52fb5d6db01.png,4,en,c772e271-e8d1-4e9c-8f1d-65cb5c577198
17,Decreasing the brightness by 20% is too much. Decreasing it by 8% would produce a better result.,27e26eef-2dc7-4bf4-ab10-b2ebfd32dd68.png,4,en,422193e4-e5e5-477e-b2b9-4c1f02c4d3af
18,Increasing the contrast by 12% would enhance the image more.,c49c7c70-a96f-4d31-8e9c-1ea494ef6e76.png,4,en,b97a1b97-cdc8-41ac-92d2-a04752ad272e
19,Increasing the contrast by 20% would be more suitable.,b8b587fa-ba45-43dd-b0a7-92c4818c9aef.png,4,en,5537b397-843f-4fad-afa6-138fc94a16aa
20,Increasing the saturation by 11% would enhance the image.,134891c8-da73-4ea7-854c-7af676addb9c.png,4,en,8fe0d1be-5725-4fda-a8ba-21fe352de06a
21,Decreasing the brightness balance by 9% would be more suitable.,c617902c-e762-4a72-be05-4b96fb49aca7.png,4,en,4f6e01c2-0745-4f95-a9c7-97bda261698d
22,Increasing the saturation by 14% would enhance the image.,e8a1f34c-10b8-4984-8f75-00311b6f76d4.png,4,en,280b217d-d7d9-4224-98eb-380cfa0683ed
23,Please provide a value to adjust the brightness balance.,,4,en,1d4af5c4-3ca0-4cc4-8162-0dee72b108c9
24,Increasing the saturation by 13% would enhance the image.,b75e68da-7c7b-4f74-9b5c-9de94a279231.png,4,en,4e7cbf8f-c975-4b1d-9051-87572c884b5a
25,Increasing the contrast by 11% would enhance the image further.,38a05e49-a48e-4283-b083-d055227d2980.png,4,en,efa31b77-2476-49e3-9270-a7733674f64e
26,Decreasing the brightness by 8% would be more suitable.,f46ae107-38a7-4a4b-af62-0a00a7fada4c.png,4,en,d13768bf-66dd-470c-b348-695e533928b4
27,Increasing the saturation by 19% would be more suitable.,30190159-57d0-44b4-88b4-8116377f1d2f.png,4,en,157b0326-7733-4a2c-91b0-e22b919e64e8
28,Increasing the contrast by 21% would enhance the image.,f880c115-034a-4896-85b0-d46ae82b5277.png,4,en,91e06e00-481f-4c29-a2b7-7c4fdca816cc
29,Decreasing the brightness by 8% would be more suitable for the image.,6a61b30a-7184-4794-bf19-bd1dc9fc1a85.png,4,en,7bd8deb2-2561-47ee-a89a-5091df36a89f
